Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,Priority Polyester 29 Cms Travel Duffle(25637_Aqua),699,1 Star & Up,₹448₹448 M.R.P: ₹999₹999  (55% off),,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,F Gear Bluechip Black 30 Ltrs Laptop Backpack (3749),"1,919",2.8 out of 5 stars,₹448₹448 M.R.P: ₹999₹999,,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,884,3.9 out of 5 stars,M.R.P:,,,,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,Birthday Popper Drawstring Sack Bag (Set of 15) Birthday Return Gifts for All Age Group,279,4.1 out of 5 stars,58,,,,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,PLAYY BAGS Large 35 L Laptop Bag/Backpack for Men Women Boys Girls Office School College Teens & Students Navy Blue,"2,389",4.1 out of 5 stars,₹294₹294-₹395₹395,,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,"Wearslim Gym Bag, Sports Edition PU Leather Gym Duffel Bag, Crossbody Bag, Gym Yoga Bag, Travel Shoulder Bag for Men and Women - Black",598,3.9 out of 5 stars,₹294₹294-₹395₹395,,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,"2,099",4.4 out of 5 stars,85,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",Brand: FUR JADEN
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,F Gear Bi Frost 47 cms Casual Laptop Backpack (2472) - Grey,841,3.9 out of 5 stars,₹298₹298 M.R.P: ₹449₹449  (34% off),,,,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,Rainstream 12 Laptop Backpacks with rain Cover 37 LTR Casual Laptop Bags/Office Laptop Bags,229,3.8 out of 5 stars,₹298₹298 M.R.P: ₹449₹449,,,,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,"URBAN CARRIER Unisex Waterproof Medium Laptop Backpack for School and Colleges (Grey, Large, 45 Liters)",692.,4.1 out of 5 stars,M.R.P:,,,,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Lavie Sport Atlantis Backpack with Laptop Sleeve | Men | Women | 15 inch Laptop Compatible | 3 compartments | Office Business Casual Bagpack,799,3.3 out of 5 stars,More Like This,,,,
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,Half Moon Large 35L Laptop College School Travel Bag Backpack for Men Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment Rain Cover & Reflective Strips (Black),899,4.3 out of 5 stars,"1,519",,,,
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,TRUE HUMAN® 32 Ltr Laptop Backpack for Men and Women| USB Port Travel Backpack|College Bags for Girls & Boys (Blue),"2,949",4.0 out of 5 stars,100+ viewed in past week,,,,
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Tommy Hilfiger Summer Unisex Polyester 15 inch Laptop Backpack Black,599,3.4 out of 5 stars,100+ viewed in past week,,,,
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Lavie Women's Chapada Satchel Bag | Ladies Purse Handbag,599,4.3 out of 5 stars,₹298₹298 M.R.P: ₹799₹799  (63% off),,,,
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ,Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,299,4.0 out of 5 stars,₹298₹298 M.R.P: ₹799₹799,,,,
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ,Toil Moil Combo 4 Bag Panda Cute Kitty Mickey Red-Spider of Kids Bags for School 10Ltr,399,3.4 out of 5 stars,M.R.P:,,,,
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,"The Purple Tree Fatty Tote Bag For Women, Women Fatty Tote Bag, Handbag, Women Handbag, Women Bag, Handbag for Women, Women's Tote, Gift For Women F",699,4 Stars & Up,2,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,Brand: Wesley
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,SKYBAGS Campus Plus XL Grey College Laptop Backpack 33L,899,3 Stars & Up,100+ viewed in past week,,,,
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Wooum Sling Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Water Resisitance,559,2 Stars & Up,100+ viewed in past week,,,,
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,House of Quirk Solid 16 Cms Cosmetic Pouch (M_MAKEUP_BAG_L_PINK_Pink),969,1 Star & Up,₹349₹349 M.R.P: ₹999₹999  (65% off),,,,
